name,city,state,country,lat,lon,type,times_played,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29
"Sawatch Hall, Park Hyatt Beaver Creek",Avon,CO,USA,39.6324855,-106.4711924,administrative,1,4/3/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWF3 Studios,Baden-Baden,0,Germany,48.7579974,8.2422878,town,1,2/26/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10 Club,Baltimore,MD,USA,39.37949625,-76.4902061,commercial,2,2/25/90,12/7/89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pier Six Concert Pavilion,Baltimore,MD,USA,39.2908608,-76.6108073,city,1,7/19/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangor Auditorium,Bangor,ME,USA,44.7898964,-68.780216,theatre,2,11/2/94,5/7/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling's Waterfront Pavilion,Bangor,ME,USA,44.8011821,-68.7778138,city,1,7/3/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College Auditorium, College of the ...",Bar Harbor,ME,USA,44.3875794,-68.2039016,administrative,1,11/4/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of the Atlantic,Bar Harbor,ME,USA,44.3875794,-68.2039016,administrative,1,1/20/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeleste,Barcelona,0,Spain,41.3870186,2.1700437,city,3,7/10/98,7/9/98,7/8/98,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumni Hall,Barre,VT,USA,44.1970055,-72.5020494,city,1,11/23/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Backyard,Bee Cave,TX,USA,30.3117041,-97.95438324,recreation_ground,1,5/8/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt. Baker Theatre,Bellingham,WA,USA,48.75232255,-122.4776174,yes,1,4/2/93,test,12/3/83,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dining Commons, Bennington College",Bennington,VT,USA,42.8783183,-73.1971692,administrative,1,9/9/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Square Theatre,Berkeley,CA,USA,37.8708789,-122.2728247,city,1,3/31/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFOG Fantasy Studios,Berkeley,CA,USA,37.8708789,-122.2728247,city,1,5/18/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Randolph Hearst Greek Theatre,Berkeley,CA,USA,37.8708789,-122.2728247,city,4,8/7/10,8/6/10,8/5/10,10/26/01,7/14/01,7/13/01,8/28/93,,,,,,,,,,,,,,,,,,,,,,
Huxley's Neue Welt,Berlin,0,Germany,52.5170365,13.3888599,city,1,2/28/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethel Woods Center for the Arts,Bethel,NY,USA,41.6834224,-74.8712753,village,4,5/29/11,5/28/11,5/27/11,7/9/06,,,,,,,,,,,,,,,,,,,,,,,,,
"Stabler Arena, Lehigh University",Bethlehem,PA,USA,40.6178915,-75.3786521,city,1,10/7/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Cypress Seminole Indian Reservation,Big Cypress,FL,USA,26.4832761,-81.8950137,residential,3,12/31/99,12/30/99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broome County Arena,Binghamton,NY,USA,42.0986867,-75.9179738,city,2,12/14/95,4/9/94,,,,,,,,,,,,,,,,,,,,,,,,,,,
